,V1,V2
200,5.494407,10.916603
201,5.29709,11.086232
202,5.9939013,11.801771
203,6.7414927,8.948536
204,6.565184,11.613376
205,6.6419797,1.5571623
206,5.3152156,11.168912
207,7.6574826,8.5727415
208,7.4149313,9.118741
209,7.2523403,-1.4456867
210,6.995749,3.7231066
211,5.4789023,5.3019166
212,8.118402,4.5417805
213,5.9114547,2.6756759
214,4.2017274,9.386612
215,7.1786904,9.67815
216,5.1183,3.3560307
217,5.447182,11.543243
218,7.625652,5.88702
219,7.7020206,6.048439
220,5.141723,3.2692847
221,7.1670923,9.306856
222,-0.8465017,7.0117283
223,8.995205,10.906965
224,6.4439063,8.836543
225,5.2882786,12.022161
226,6.9646683,0.92904216
227,4.5855336,12.147621
228,5.313748,5.3189187
229,2.5973032,2.9283762
230,6.6384172,2.7547426
231,6.7704196,1.5604423
232,7.6919484,-0.13468702
233,5.144652,11.982021
234,7.484855,5.056248
235,5.875897,3.947354
236,4.700385,1.9276032
237,4.2614713,9.382457
238,5.6438723,3.5119689
239,6.5030737,11.890886
240,4.0124288,9.30509
241,7.45077,2.4022863
242,6.9294357,2.427204
243,6.672093,2.2469828
244,6.203838,2.1935968
245,5.8640213,3.0148528
246,5.1483693,12.050546
247,6.756913,11.852756
248,3.526584,2.7163427
249,7.029551,9.201007
250,5.424963,11.61824
251,6.455428,1.8632109
252,5.4750123,10.890512
253,1.5521593,4.049099
254,8.699344,10.9932
255,4.9923587,12.698472
256,5.9257054,11.368458
257,5.9144588,11.473572
258,4.258757,9.609507
259,6.7990155,-1.7331548
260,7.720681,-0.26105282
261,3.7275553,3.0144095
262,4.1133056,3.2874613
263,2.352024,2.9994166
264,9.0656595,11.073151
265,6.860902,9.134336
266,7.159966,8.762046
267,5.161138,12.5195265
268,5.612638,11.658652
269,7.148557,8.99337
270,5.844495,4.362299
271,2.6481557,3.1335506
272,5.8724093,4.2675033
273,5.394163,11.1499
274,5.91174,11.740548
275,4.947826,12.610951
276,5.1409225,12.507022
277,4.46119,9.087787
278,5.736574,3.1217732
279,4.402626,9.145159
280,5.5736613,2.8419824
281,5.672347,12.092212
282,5.173523,3.1770496
283,4.2883434,9.287073
284,3.390691,2.9007561
285,5.4444637,3.2885654
286,4.865808,12.614296
287,7.391147,1.9873575
288,5.47915,0.677161
289,5.019497,12.453376
290,3.7512875,2.8924816
291,6.200471,2.6687584
292,2.2831113,3.2201004
293,5.6588507,3.159761
294,4.392841,2.122091
295,7.477749,4.0515184
296,7.4728446,4.095562
297,5.9999394,2.6217535
298,4.664361,3.0402453
299,6.0370035,4.893304
300,5.0859547,0.13055769
301,9.196032,10.334184
302,7.159407,0.60384226
303,6.0371947,2.6491897
304,5.482396,2.2611742
305,5.71582,2.2780948
306,5.795783,2.723261
307,7.086216,2.5333955
308,5.775794,5.0657516
309,7.282843,0.045468476
310,7.714603,-1.7358199
311,5.212206,2.677662
312,6.03866,11.581814
313,5.8722715,11.587418
314,4.226984,9.442051
315,6.3519526,11.706446
316,6.8562307,11.440308
317,4.4786096,12.163558
318,7.0288024,9.33676
319,3.6646473,2.4648912
320,4.0416584,9.395825
321,7.9355583,-0.5701261
322,4.7213593,2.7229345
323,4.2162547,9.470056
324,8.558404,11.258132
325,6.785287,11.477523
326,9.022558,11.188599
327,7.323919,11.042879
328,5.720852,11.4720955
329,7.0418167,8.872165
330,6.072368,12.092195
331,4.9129076,12.308799
332,6.3471336,11.759226
333,2.5845473,3.0977335
334,3.2916074,2.9948792
335,7.0091243,0.27470466
336,5.1474,3.4650183
337,4.0992656,2.5664558
338,5.1550183,3.1758697
339,2.5667422,2.9517167
340,7.1393843,-1.3984203
341,2.8944044,1.8347493
342,2.5415986,3.0851293
343,6.9708934,0.06644846
344,7.075173,-0.6406695
345,9.117927,10.572127
346,7.915822,8.908668
347,7.4953957,9.267873
348,5.4388843,10.912492
349,5.9484434,3.1264646
350,5.259197,3.2280734
351,4.5991106,2.75084
352,5.7249913,3.0808756
353,5.58772,2.7450504
354,5.401995,10.977605
355,9.098392,10.334846
356,7.053835,8.990785
357,5.902875,11.978704
358,5.1115365,12.641971
359,6.061516,11.837238
360,7.3966913,9.264092
361,7.1616426,9.638834
362,5.8781486,9.524219
363,5.963798,9.48157
364,5.4958167,11.398013
365,5.8017693,2.7226367
366,7.285536,9.551416
367,7.128935,11.686601
368,6.191759,1.9577236
369,2.9903297,3.2187355
370,5.5223026,4.6071754
371,7.047906,4.4028683
372,5.928838,5.043413
373,2.9734247,2.5568295
374,7.182391,9.47082
375,5.805102,2.8560681
376,1.7580178,2.8509426
377,5.4174695,1.771952
378,7.212248,-0.505261
379,6.9983997,-1.6027018
380,2.9619048,2.8893013
381,4.980625,0.20259245
382,2.9792647,2.5577996
383,7.814727,1.5004767
384,5.35072,6.8563285
385,5.0247087,2.6562448
386,7.027753,9.29869
387,6.9744716,8.345411
388,2.4227965,2.5138707
389,5.1372905,0.078399695
390,8.513457,8.658324
391,5.4324846,3.3093073
392,5.982156,3.6028442
393,3.327699,2.2301397
394,7.5533047,0.48880404
395,4.9405622,0.12964259
396,5.3581963,12.561236
397,6.9891586,-1.5519392
398,1.9576724,2.499082
399,3.7217834,-0.029703056
400,5.820034,3.6376328
401,3.3833456,2.6092136
402,5.819147,2.6600125
403,3.2644277,6.0697775
404,3.2189152,6.1233954
405,2.36331,2.8482335
406,2.3038762,2.739882
407,4.767135,2.9972858
408,5.0905986,2.376425
409,5.7268853,11.461463
410,3.272624,3.0489235
411,6.5284195,11.910788
412,9.028735,11.173005
413,2.427341,0.8301444
414,9.244057,11.185175
415,7.9117837,7.4661155
416,5.870843,2.6720197
417,5.830776,3.0253904
418,3.888642,8.893204
419,7.9631658,7.461506
420,5.885926,2.6533055
421,5.3595166,11.010495
422,2.8544378,2.2373407
